,rating,reviewer_name,review_title,review_rating,review_date,review_location,review_content
0,4.9,bArToS,Just incase it helps someone,5,"January 5, 2019",the United States,So I got these for my build and had a little problem that I haven't seen mentioned.
1,4.9,Jeffrey,They take up less space,5,"January 28, 2021",the United States,"Great RAM, I have a previous version of this ram that is a few cm bigger than this one. This one is SLI=Slim so it is smaller and takes up way less space on the motherboard."
2,4.9,David,Great RAM,5,"May 31, 2020",the United States,"Works great. Got the 2x32gb. Read review thinking it would be Hynix, but I did not get Hynix, I got B-Die? On my 3900x I was able to get 3600mhz at cl16 stable. 64gb at 3600mh sounds pretty good to me! Now I can finally have 3 chrome tabs open."
3,4.9,A. Aurelius,The RGB LEDs may cause unusual errors with iCUE,4,"May 6, 2020",the United States,"The last item I had with several blinking lights on it was my toy robot, ... when I was 4 years old. The RGB LED craze to put flashing lights on every computer component, for the most part seems absolutely asinine. I only purchased this particular model because I needed two 32GB sticks and I have used Corsair Vengeance in the past with good results. I mounted them properly and they work just fine in my Gigabyte Aorus Master Z390 motherboard. By default, the LEDs are set to a slow ""breath"" cycle that changes to another hue every 5 seconds or so. If you want to take full control of the LEDs, you need to use Corsair's monster bloatware program iCUE that will likely #### up more things than it fixes. I went into iBloat and set the LEDs to map to the dimms temperature sensor, so I could tell if they got too warm. Once I made this adjustment, the voltage regulator on my Corsair HX1200i PSU started clicking. Two days later, and I am still troubleshooting the LEDs (the HX1200i has been rock solid for more than 2 years). If the LEDs are set to off, the clicking disappears. I am still fooling with finding a compromise. Stay tuned ...."
4,4.9,Dennis L.,B-Grade product from Amazon?,1,"January 17, 2020",the United States,"I bought two packs of the 2x8 GB Corsair RGB 3200 MHz RAM, one from Amazon and one from BB.  The BB one arrived first and installed without a problem, 16 GB automatically detecting at 3200 MHz using XMP.  The Amazon RAM arrived and after installing for a total of 32 GB, my RAM speed dropped to 2133 MHz.  After some computer use, Windows crashed with the blue screen of death.  The computer would not boot back into windows.  After 2 hours of troubleshooting, I took the Amazon RAM out and restored Windows.  A week later, I bought and installed another pack of RAM from BB.  Worked perfectly fine, automatically detecting at 3200 MHz so now I have 32 GB RAM.  My machine has been running great for a month now.  So you be the judge - coincidence I got a dud from Amazon?  Or does Amazon sell B-grade junk?"
5,4.9,James Gose,Works great with an AMD 3950X and X570 motherboard,5,"July 18, 2020",the United States,"Don't be a fool, reset your BIOS/CMOS/UEFI to defaults before installing this kit! Who has two thumbs and installed the RAM without verifying the timings had been updated? This guy! :)"
6,4.9,Brandon Hirsch,Caused Blue Screen of Death after 1 month,1,"April 13, 2019",the United States,"I ordered this product February 28th. It was great ram, the color fit my build and the lighting effects were awesome. It worked great until today, April 13th. My rig began experiencing MEMORY_MANAGEMENT Blue Screens of Death every 15 minutes, making my computer unusable. I decided to run a Windows Memory Diagnostic and sure enough it discovered issues. ""Hardware Problems were detected. To identify and repair these problems, you will need to contact the manufacturer"". I'm going to try and get this resolved but BSOD's after just over a month? Do better Corsair."
7,4.9,Ray W.,"First set was defective, memtest was erroring...",4,"July 10, 2020",the United States,"I'm using these with the AMD Ryzen Threadripper 3960X on an ASUS ROG STRIX TRX40-XE board at the full XMP speeds, DDR4 3600. Unfortunately the first kit I received was defective and memtest was throwing errors no matter what tweaks were made. Replacement kit is much better, no errors at all - only thing I needed to do was enable the XMP profile and adjust SOC voltage to 1.05v."
8,4.9,RICHARD TURNBULL,FANTASTIC RAM !!!!!!!!!,5,"February 2, 2021",the United States,This ram is great for the IBUYPOWER Mini computer!!!!!!!! Plus many more that can take the 32GB power.the colors are jjust  beautiful and once the software is installed from Corsair youll see what i mean. The a mount is aliitle high but well worth the power. BUY IT!
9,4.9,Spartan40,iCue is bloatware,3,"December 1, 2020",the United States,"iCue is required to customize the RGB, but it can also be used to take over just about everything. It's invasive, can take up over 1gb and secretly installs 5-7 programs that consume resources and can noticeably affect performance on budget rigs. All I wanted was to change the damn RGB lights, I didn't know buying this RAM was gonna subject me to unwanted monitoring and marketing by Corsair. These modules are also high profile which aren't compatible with a number of popular aftermarket CPU coolers which sucked to learn after the fact. I'm returning these sticks right now, RGB is overpriced and not worth the nonsense for just RAM. Also done with Corsair, they're too greedy and have disappointed me for the last time."
10,4.9,Maxximus,"Run great, poor lighting config options",3,"June 14, 2019",the United States,I just want the lighting to turn on during powerup/boot AND turn off during sleep. You have to pick one or the other.
